vehicle_id,timestamp_ms,latitude,longitude,speed_kmh
0,0,47.649333,-122.333556,40.3
0,200,47.649354,-122.333556,40.3
0,400,47.649374,-122.333556,40.3
0,600,47.649394,-122.333556,40.3
0,800,47.649414,-122.333556,40.3
0,1000,47.649434,-122.333556,40.3
0,1200,47.649455,-122.333556,40.3
0,1400,47.649475,-122.333556,40.3
0,1600,47.649495,-122.333556,40.3
0,1800,47.649515,-122.333556,40.3
0,2000,47.649535,-122.333556,40.3
0,2200,47.649556,-122.333556,40.3
0,2400,47.649576,-122.333556,40.3
0,2600,47.649596,-122.333556,40.3
0,2800,47.649616,-122.333556,40.3
0,3000,47.649636,-122.333556,40.3
0,3200,47.649657,-122.333556,40.3
0,3400,47.649677,-122.333556,40.3
0,3600,47.649697,-122.333556,40.3
0,3800,47.649717,-122.333556,40.3
0,4000,47.649737,-122.333556,40.3
0,4200,47.649758,-122.333556,40.3
0,4400,47.649778,-122.333556,40.3
0,4600,47.649798,-122.333556,40.3
0,4800,47.649818,-122.333556,40.3
0,5000,47.649838,-122.333556,40.3
0,5200,47.649859,-122.333556,40.3
0,5400,47.649879,-122.333556,40.3
0,5600,47.649899,-122.333556,40.3
0,5800,47.649919,-122.333556,40.3
0,6000,47.649939,-122.333556,40.3
0,6200,47.649960,-122.333556,40.3
0,6400,47.649980,-122.333556,40.3
0,6600,47.650000,-122.333556,40.0
0,6800,47.650000,-122.333524,40.0
0,7000,47.650000,-122.333492,40.0
0,7200,47.650000,-122.333460,40.0
0,7400,47.650000,-122.333429,40.0
0,7600,47.650000,-122.333397,40.0
0,7800,47.650000,-122.333365,40.0
0,8000,47.650000,-122.333333,40.0
0,8200,47.650000,-122.333302,40.0
0,8400,47.650000,-122.333270,40.0
0,8600,47.650000,-122.333238,40.0
0,8800,47.650000,-122.333206,40.0
0,9000,47.650000,-122.333175,40.0
0,9200,47.650000,-122.333143,40.0
0,9400,47.650000,-122.333111,16.8
0,9600,47.650000,-122.333098,16.8
0,9800,47.650000,-122.333086,16.8
0,10000,47.650000,-122.333073,16.8
0,10200,47.650000,-122.333060,16.8
0,10400,47.650000,-122.333048,16.8
0,10600,47.650000,-122.333035,16.8
0,10800,47.650000,-122.333022,16.8
0,11000,47.650000,-122.333010,16.8
0,11200,47.650000,-122.332997,16.8
0,11400,47.650000,-122.332984,16.8
0,11600,47.650000,-122.332971,16.8
0,11800,47.650000,-122.332959,16.8
0,12000,47.650000,-122.332946,16.8
0,12200,47.650000,-122.332933,16.8
0,12400,47.650000,-122.332921,16.8
0,12600,47.650000,-122.332908,16.8
0,12800,47.650000,-122.332895,16.8
0,13000,47.650000,-122.332883,16.8
0,13200,47.650000,-122.332870,16.8
0,13400,47.650000,-122.332857,16.8
0,13600,47.650000,-122.332844,16.8
0,13800,47.650000,-122.332832,16.8
0,14000,47.650000,-122.332819,16.8
0,14200,47.650000,-122.332806,16.8
0,14400,47.650000,-122.332794,16.8
0,14600,47.650000,-122.332781,16.8
0,14800,47.650000,-122.332768,16.8
0,15000,47.650000,-122.332756,16.8
0,15200,47.650000,-122.332743,16.8
0,15400,47.650000,-122.332730,16.8
0,15600,47.650000,-122.332717,16.8
0,15800,47.650000,-122.332705,16.8
0,16000,47.650000,-122.332692,16.8
0,16200,47.650000,-122.332679,16.8
0,16400,47.650000,-122.332667,0.0
1,0,47.649333,-122.330444,43.2
1,200,47.649356,-122.330444,43.2
1,400,47.649378,-122.330444,43.2
1,600,47.649400,-122.330444,43.2
1,800,47.649422,-122.330444,43.2
1,1000,47.649444,-122.330444,43.2
1,1200,47.649467,-122.330444,43.2
1,1400,47.649489,-122.330444,43.2
1,1600,47.649511,-122.330444,43.2
1,1800,47.649533,-122.330444,43.2
1,2000,47.649556,-122.330444,43.2
1,2200,47.649578,-122.330444,43.2
1,2400,47.649600,-122.330444,43.2
1,2600,47.649622,-122.330444,43.2
1,2800,47.649644,-122.330444,43.2
1,3000,47.649667,-122.330444,43.2
1,3200,47.649689,-122.330444,43.2
1,3400,47.649711,-122.330444,43.2
1,3600,47.649733,-122.330444,43.2
1,3800,47.649756,-122.330444,43.2
1,4000,47.649778,-122.330444,43.2
1,4200,47.649800,-122.330444,43.2
1,4400,47.649822,-122.330444,43.2
1,4600,47.649844,-122.330444,43.2
1,4800,47.649867,-122.330444,43.2
1,5000,47.649889,-122.330444,43.2
1,5200,47.649911,-122.330444,43.2
1,5400,47.649933,-122.330444,43.2
1,5600,47.649956,-122.330444,43.2
1,5800,47.649978,-122.330444,43.2
1,6000,47.650000,-122.330444,46.1
1,6200,47.650000,-122.330407,46.1
1,6400,47.650000,-122.330370,46.1
1,6600,47.650000,-122.330333,46.1
1,6800,47.650000,-122.330296,46.1
1,7000,47.650000,-122.330259,46.1
1,7200,47.650000,-122.330222,46.1
1,7400,47.650000,-122.330185,46.1
1,7600,47.650000,-122.330148,46.1
1,7800,47.650000,-122.330111,46.1
1,8000,47.650000,-122.330074,46.1
1,8200,47.650000,-122.330037,46.1
1,8400,47.650000,-122.330000,18.7
1,8600,47.650000,-122.330014,18.7
1,8800,47.650000,-122.330029,18.7
1,9000,47.650000,-122.330043,18.7
1,9200,47.650000,-122.330057,18.7
1,9400,47.650000,-122.330072,18.7
1,9600,47.650000,-122.330086,18.7
1,9800,47.650000,-122.330100,18.7
1,10000,47.650000,-122.330115,18.7
1,10200,47.650000,-122.330129,18.7
1,10400,47.650000,-122.330143,18.7
1,10600,47.650000,-122.330158,18.7
1,10800,47.650000,-122.330172,18.7
1,11000,47.650000,-122.330186,18.7
1,11200,47.650000,-122.330201,18.7
1,11400,47.650000,-122.330215,18.7
1,11600,47.650000,-122.330229,18.7
1,11800,47.650000,-122.330244,18.7
1,12000,47.650000,-122.330258,18.7
1,12200,47.650000,-122.330272,18.7
1,12400,47.650000,-122.330287,18.7
1,12600,47.650000,-122.330301,18.7
1,12800,47.650000,-122.330315,18.7
1,13000,47.650000,-122.330330,18.7
1,13200,47.650000,-122.330344,18.7
1,13400,47.650000,-122.330358,18.7
1,13600,47.650000,-122.330373,18.7
1,13800,47.650000,-122.330387,18.7
1,14000,47.650000,-122.330401,18.7
1,14200,47.650000,-122.330416,18.7
1,14400,47.650000,-122.330430,18.7
1,14600,47.650000,-122.330444,0.0
2,0,47.648667,-122.332667,22.0
2,200,47.648667,-122.332683,22.0
2,400,47.648667,-122.332700,22.0
2,600,47.648667,-122.332716,22.0
2,800,47.648667,-122.332733,22.0
2,1000,47.648667,-122.332749,22.0
2,1200,47.648667,-122.332765,22.0
2,1400,47.648667,-122.332782,22.0
2,1600,47.648667,-122.332798,22.0
2,1800,47.648667,-122.332815,22.0
2,2000,47.648667,-122.332831,22.0
2,2200,47.648667,-122.332848,22.0
2,2400,47.648667,-122.332864,22.0
2,2600,47.648667,-122.332881,22.0
2,2800,47.648667,-122.332897,22.0
2,3000,47.648667,-122.332914,22.0
2,3200,47.648667,-122.332930,22.0
